URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001.txt,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0.196572872,0,0.196572872,0.52138992,18.43333333,100,47.37333333,10.63333333,642,642,2.134796238,0,6.438871473
blackassign0002.txt,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0.118697647,0,0.118697647,0.425532229,19.63414634,100,47.85365854,11.70731707,1876,1876,2.397916667,0,7.127083333
blackassign0003.txt,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0.099833985,0,0.099833985,0.425039928,20.68852459,100,48.27540984,12.81967213,1466,1466,2.648337596,0,7.81202046
blackassign0004.txt,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0.046241565,0,0.046241565,0.404251019,22.28571429,100,48.91428571,14.07142857,1458,1458,2.52284264,0,7.618020305
blackassign0005.txt,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,0.10815974,0,0.10815974,0.484901154,20.02272727,100,48.00909091,12.11363636,1011,1011,2.232645403,0,6.990619137
blackassign0006.txt,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,0.123001675,0,0.123001675,0.554111246,21.90322581,100,48.76129032,13.39784946,2327,2327,2.509630819,0,7.681380417
blackassign0007.txt,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,0.090712755,0,0.090712755,0.451989374,17.82539683,100,47.13015873,10.52380952,1296,1296,2.279034691,0,6.864253394
blackassign0008.txt,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,0.10989418,0,0.10989418,0.43426455,18.61538462,100,47.44615385,11.65384615,1135,1135,2.691419142,0,7.869636964
blackassign0009.txt,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,0.084383518,0,0.084383518,0.418428485,18.43548387,100,47.37419355,12.0483871,1339,1339,2.627844712,0,7.763052209
blackassign0010.txt,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,0.134117795,0,0.134117795,0.494211658,20.94117647,100,48.37647059,10.71764706,2009,2009,2.51920966,0,7.556531284
